,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,groupe_tenure
2006,9139-WQQDY,Female,NO,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,48-60 month
2007,0224-HJAPT,Male,NO,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,0-12 month
2008,8086-OVPWV,Male,NO,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.2,181.1,0-12 month
2009,9430-FRQOC,Female,NO,No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,87.1,341.45,0-12 month
2010,7639-OPLNG,Male,NO,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.25,5731.85,>60 month
2011,3074-GQWYX,Male,NO,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.9,357.75,0-12 month
2012,1492-QGCLU,Male,NO,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.7,4616.1,48-60 month
2013,6845-RGTYS,Female,NO,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.75,4533.7,36-48 month
2014,7328-OWMOM,Female,NO,No,Yes,31,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),20.1,589.25,24-36 month
2015,4418-LZMSV,Male,NO,Yes,Yes,13,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.8,750.1,12-24 month
2016,5155-AZQPB,Female,NO,Yes,Yes,28,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1410.25,24-36 month
2017,8861-HGGKB,Female,NO,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.45,830.85,0-12 month
2018,1087-GRUYI,Male,NO,Yes,No,38,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.4,743.5,36-48 month
2019,7065-YUNRY,Female,NO,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,45.3,0-12 month
2020,7694-VLBWQ,Male,NO,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,104.1,7040.85,>60 month
2021,2546-KZAAT,Male,NO,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,75.4,3865.45,48-60 month
2022,0181-RITDD,Male,NO,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,>60 month
2023,5989-PGKJB,Female,NO,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,1340.1,12-24 month
2024,4795-KTRTH,Female,YES,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.0,371.65,0-12 month
2025,8272-ONJLV,Male,NO,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,95.7,1184.0,0-12 month
2026,1488-PBLJN,Female,NO,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.85,8477.7,>60 month
2027,0308-GIQJT,Male,YES,No,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,7382.85,>60 month
2028,3778-FOAQW,Female,NO,Yes,No,24,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.15,456.85,12-24 month
2029,4452-ROHMO,Female,NO,No,No,15,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.6,331.6,12-24 month
2030,6481-OGDOO,Male,NO,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.6,6056.15,>60 month
2031,3090-LETTY,Male,NO,No,Yes,2,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.95,134.6,0-12 month
2032,5349-AZPEW,Female,NO,Yes,Yes,5,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,125.5,0-12 month
2033,3753-TSEMP,Female,NO,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.15,1390.6,12-24 month
2034,8305-VHZBZ,Male,NO,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.2,20.2,0-12 month
2035,9720-JJJOR,Male,NO,Yes,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),60.3,2511.3,36-48 month
2036,8100-HZZLJ,Female,NO,No,Yes,43,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.95,2737.05,36-48 month
2037,8775-ERLNB,Male,YES,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3,0-12 month
2038,8309-IEYJD,Female,YES,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.6,70.6,0-12 month
2039,9172-JITSM,Female,NO,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.8,2361.8,24-36 month
